City,State,Cost of Living Index,lat,lon
Hattiesburg,MS,86.1,31.3271189,-89.2903392
Hickory,NC,89.8,35.7344538,-81.3444573
Hilton Head Island,SC,109.4,32.216316,-80.752608
Houston,TX,95.8,29.7604267,-95.3698028
Huntington,WV,84.3,38.41924960000001,-82.445154
Huntsville,AL,91.3,34.730368799999994,-86.5861037
Huntsville,TX,91.2,30.723526300000003,-95.5507771
Hutchinson,KS,84.0,38.0608445,-97.9297743
Idaho Falls,ID,91.7,43.4916514,-112.0339645
Indianapolis,IN,90.2,39.768403,-86.158068
Iowa City,IA,93.5,41.6611277,-91.5301683
Jackson,MS,87.8,32.298757300000005,-90.1848103
Jackson,TN,85.2,35.6145169,-88.8139469
Jacksonville,FL,99.0,30.3321838,-81.655651
Jacksonville,NC,91.7,34.7540524,-77.43024140000001
Janesville,WI,89.8,42.6827885,-89.01872220000001
Jefferson City,MO,86.3,38.57670170000001,-92.1735164
Johnson City,TN,88.1,36.3134397,-82.35347270000001
Jonesboro,AR,85.2,35.8422967,-90.704279
Joplin,MO,85.2,37.0842271,-94.513281
Kalamazoo,MI,89.3,42.2917069,-85.5872286
Kansas City,MO,91.6,39.0997265,-94.5785667
Kennewick,WA,99.7,46.2112458,-119.1372338
Killeen,TX,88.6,31.1171194,-97.7277959
Kingsport,TN,86.0,36.548434,-82.5618186
Knoxville,TN,91.6,35.96063839999999,-83.9207392
Kokomo,IN,84.9,40.486427,-86.13360329999999
La Crosse,WI,91.8,43.8013556,-91.2395807
Lafayette,LA,89.6,30.2240897,-92.0198427
Lake Charles,LA,89.4,30.226594899999995,-93.2173758
Lake Havasu City,AZ,98.4,34.483901,-114.3224548
Lakeland,FL,96.4,28.0394654,-81.9498042
Lancaster,PA,99.5,40.0378755,-76.3055144
Lansing,MI,88.7,42.732535,-84.55553470000001
Laredo,TX,90.1,27.530567100000003,-99.4803241
Las Cruces,NM,88.8,32.3199396,-106.7636538
Las Vegas,NV,100.7,36.1699412,-115.13982959999998
Lawrence,KS,91.6,38.9716689,-95.2352501
Lawton,OK,82.8,34.6035669,-98.3959291
Lima,OH,87.2,40.742551,-84.1052256
Lincoln,NE,94.7,40.8257625,-96.6851982
Little Rock,AR,88.0,34.7464809,-92.2895948
Longview,TX,88.5,32.5007037,-94.7404891
Lubbock,TX,88.8,33.5778631,-101.8551665
Lynchburg,VA,93.6,37.4137536,-79.1422464
Macon,GA,87.2,32.8406946,-83.6324022
Madera,CA,108.9,36.961335600000005,-120.0607176
Madison,WI,99.5,43.07305170000001,-89.4012302
Manchester,NH,109.6,42.995639700000005,-71.4547891
Manhattan,KS,89.6,39.1836082,-96.5716694
Mankato,MN,95.3,44.1635775,-93.9993996
Mansfield,OH,86.2,40.758390000000006,-82.51544709999999
McAllen,TX,86.0,26.203407100000003,-98.2300124
Medford,OR,107.5,42.3265152,-122.8755949
Memphis,TN,88.2,35.1495343,-90.0489801
Merced,CA,108.2,37.3021632,-120.48296770000002
Meridian,MS,82.0,32.3643098,-88.70365600000001
Midland,MI,87.0,43.6155825,-84.24721159999999
Midland,TX,97.8,31.9973456,-102.0779146
Milwaukee,WI,93.8,43.0389025,-87.9064736
Minot,ND,90.7,48.23296679999999,-101.2922906
Missoula,MT,103.4,46.8787176,-113.996586
Mobile,AL,88.3,30.6953657,-88.0398912
Modesto,CA,112.3,37.6390972,-120.9968782
Monroe,LA,86.5,32.5093109,-92.1193012
Montgomery,AL,88.5,32.366805199999995,-86.2999689
Muncie,IN,83.7,40.1933767,-85.3863599
Muskegon,MI,87.7,43.2341813,-86.2483921
Muskogee,OK,81.3,35.747876899999994,-95.3696909
Napa,CA,149.6,38.2975381,-122.286865
Nashville,TN,100.1,36.1626638,-86.78160159999999
New Haven,CT,107.7,41.308274,-72.9278835
New Orleans,LA,92.4,29.9510658,-90.0715323
New York,NY,128.0,40.7127837,-74.00594129999999
Ocala,FL,94.5,29.1871986,-82.14009229999999
Odessa,TX,92.7,31.8456816,-102.3676431
Ogden,UT,99.8,41.223,-111.9738304
Oklahoma City,OK,87.3,35.4675602,-97.5164276
Olympia,WA,110.9,47.0378741,-122.9006951
Omaha,NE,92.9,41.25236339999999,-95.9979883
Orlando,FL,101.4,28.5383355,-81.3792365
Oshkosh,WI,89.0,44.0247062,-88.5426136
Owensboro,KY,86.6,37.7719074,-87.1111676
Panama City,FL,101.9,30.1588129,-85.6602058
Pensacola,FL,97.9,30.421309,-87.2169149
Peoria,IL,86.7,40.6936488,-89.58898640000001
Philadelphia,PA,103.4,39.9525839,-75.1652215
Phoenix,AZ,104.3,33.4483771,-112.0740373
Pine Bluff,AR,82.3,34.2284312,-92.0031955
Pittsburgh,PA,93.1,40.4406248,-79.9958864
Pittsfield,MA,106.4,42.4500845,-73.2453824
Pocatello,ID,90.8,42.8713032,-112.4455344
Port St. Lucie,FL,101.1,27.2730492,-80.3582261
Portland,ME,113.0,43.661471,-70.2553259
Portland,OR,116.5,45.523062200000005,-122.6764816
Prescott,AZ,104.6,34.540024200000005,-112.4685025
Providence,RI,111.5,41.8239891,-71.4128343
Provo,UT,100.9,40.2338438,-111.6585337
Pueblo,CO,92.2,38.2544472,-104.6091409
Quincy,IL,87.3,39.9356016,-91.4098726
Racine,WI,90.9,42.7261309,-87.78285229999999
Raleigh,NC,99.7,35.7795897,-78.6381787
Rapid City,SD,94.2,44.0805434,-103.2310149
Reading,PA,96.0,40.3356483,-75.9268747
Redding,CA,108.7,40.5865396,-122.3916754
Reno,NV,107.4,39.5296329,-119.8138027
Richmond,VA,99.2,37.5407246,-77.4360481
Riverside,CA,116.1,33.9533487,-117.3961564
Roanoke,VA,94.1,37.2709704,-79.9414266
Rochester,MN,97.3,44.0121221,-92.4801989
Rochester,NY,96.6,43.16103,-77.61092190000001
Rockford,IL,87.2,42.2711311,-89.09399520000001
Rocky Mount,NC,88.3,35.938210299999994,-77.7905339
Roswell,NM,86.3,33.3942655,-104.5230242
Sacramento,CA,120.3,38.5815719,-121.4943996
Saginaw,MI,84.0,43.4194699,-83.9508068
Salem,OR,105.8,44.9428975,-123.0350963
Salinas,CA,138.3,36.6777372,-121.6555013
Salt Lake City,UT,105.9,40.7607793,-111.89104740000002
San Angelo,TX,90.7,31.4637723,-100.4370375
San Antonio,TX,92.7,29.4241219,-98.4936282
San Diego,CA,136.2,32.715738,-117.1610838
San Francisco,CA,178.6,37.7749295,-122.4194155
San Jose,CA,173.5,37.3382082,-121.88632859999998
San Luis Obispo,CA,136.1,35.2827524,-120.6596156
Santa Cruz,CA,163.9,36.9741171,-122.0307963
Santa Fe,NM,105.1,35.686975200000006,-105.937799
Santa Rosa,CA,141.7,38.440429,-122.7140548
Savannah,GA,97.3,32.0835407,-81.0998342
Scranton,PA,91.3,41.408969,-75.66241219999999
Seattle,WA,124.6,47.6062095,-122.33207079999998
Sheboygan,WI,89.7,43.7508284,-87.71453000000001
Sherman,TX,91.3,33.635661799999994,-96.6088805
Shreveport,LA,85.8,32.5251516,-93.7501789
Sierra Vista,AZ,93.2,31.5455001,-110.27728559999998
Sioux City,IA,87.1,42.4999942,-96.4003069
Sioux Falls,SD,92.8,43.5445959,-96.7311034
South Bend,IN,87.2,41.6763545,-86.25198979999999
Spartanburg,SC,91.0,34.949567200000004,-81.93204820000001
Spokane,WA,100.4,47.6587802,-117.4260466
Springfield,IL,87.5,39.7817213,-89.6501481
Springfield,MA,106.5,42.1014831,-72.589811
Springfield,MO,86.7,37.20895720000001,-93.2922989
Springfield,OH,87.5,39.9242266,-83.8088171
St. Cloud,MN,95.4,45.5579451,-94.1632404
St. George,UT,98.0,37.0965278,-113.5684164
St. Joseph,MO,85.5,39.7674578,-94.846681
St. Louis,MO,89.6,38.6270025,-90.1994042
State College,PA,99.8,40.7933949,-77.8600012
Stillwater,OK,86.3,36.1156071,-97.0583681
Stockton,CA,113.6,37.9577016,-121.29077959999998
Sumter,SC,88.1,33.9204354,-80.3414693
Syracuse,NY,95.1,43.0481221,-76.1474244
Tallahassee,FL,96.4,30.4382559,-84.2807329
Tampa,FL,101.4,27.950575,-82.4571776
Terre Haute,IN,84.7,39.4667034,-87.4139092
Texarkana,TX,86.3,33.425125,-94.0476882
Toledo,OH,87.5,41.6639383,-83.555212
Topeka,KS,85.6,39.0558235,-95.6890185
Trenton,NJ,104.3,40.2170534,-74.74293840000001
Tucson,AZ,97.7,32.2217429,-110.926479
Tulsa,OK,86.7,36.1539816,-95.992775
Tuscaloosa,AL,91.0,33.2098407,-87.5691735
Twin Falls,ID,91.2,42.5629668,-114.4608711
Tyler,TX,92.8,32.351260100000005,-95.3010624
Utica,NY,94.1,43.100903,-75.232664
Valdosta,GA,89.2,30.8327022,-83.2784851
Vallejo,CA,125.2,38.1040864,-122.25663670000002
Vineland,NJ,97.8,39.4863773,-75.0259637
Virginia Beach,VA,99.0,36.8529263,-75.977985
Visalia,CA,103.6,36.3302284,-119.2920585
Waco,TX,89.5,31.549333,-97.1466695
Warner Robins,GA,90.5,32.6130007,-83.624201
Washington,DC,120.1,38.9071923,-77.03687070000001
Waterloo,IA,87.6,42.492786,-92.3425775
Wausau,WI,88.9,44.9591352,-89.6301221
Wichita Falls,TX,85.7,33.913708500000006,-98.4933873
Wichita,KS,86.8,37.688889,-97.336111
Wilmington,NC,99.0,34.2257255,-77.9447102
Wilson,NC,86.3,35.7212689,-77.91553950000001
Winston-Salem,NC,91.2,36.0998596,-80.24421600000001
Worcester,MA,113.2,42.262593200000005,-71.8022934
Yakima,WA,97.5,46.6020711,-120.5058987
York,PA,95.8,39.9625984,-76.727745
Youngstown,OH,86.4,41.0997803,-80.6495194
Yuba City,CA,108.7,39.1404477,-121.6169108
Yuma,AZ,94.5,32.6926512,-114.6276916
Bloomington,IL,89.0,40.4842027,-88.9936873
Lafayette,IN,88.7,40.4167022,-86.8752869
Los Angeles,CA,140.6,34.0522342,-118.24368490000002
Sarasota,FL,104.4,27.3364347,-82.5306527
Santa Maria,CA,143.0,34.953033700000006,-120.4357191
Honolulu,HI,158.0,21.3069444,-157.8583333
Stamford,CT,119.2,41.0534302,-73.53873409999999
Fort Myers,FL,101.5,26.640628000000003,-81.87230840000001
Dallas,TX,98.5,32.7766642,-96.7969879
Davenport,IA,87.2,41.5236437,-90.5776367
Daytona Beach,FL,99.6,29.2108147,-81.02283309999999
Hagerstown,MD,99.7,39.6417629,-77.7199932
Logan,UT,95.2,41.7369803,-111.8338359
Louisville,KY,91.6,38.2526647,-85.7584557
Miami,FL,110.1,25.7616798,-80.1917902
Minneapolis,MN,105.4,44.977753,-93.2650108
Melbourne,FL,99.3,28.0836269,-80.6081089
Victoria,TX,89.5,28.8052674,-97.0035982
